 ticker       |         listed_at
 BIDEN             | 2020-02-10 08:37:00
 BERNIE            | 2020-02-10 08:37:00
 TRUMP             | 2020-02-06 18:00:00
 BLOOMBERG         | 2020-02-10 08:37:00
 PAXG-PERP         | 2020-01-14 15:05:00
 PETE              | 2020-02-10 08:37:00
 WARREN            | 2020-02-10 08:37:00
 OKB-20190628      | 2019-08-22 02:20:38.128682
 LTC-20190927      | 2019-06-30 07:37:15.647331
 TRX-20190927      | 2019-06-09 03:28:51.84753
 LEO-20190927      | 2019-06-09 07:36:44.309486
 PRIV-PERP         | 2020-02-13 11:19:20.039048
 BTMX-PERP         | 2019-10-24 11:30:53.223039
 ALT-PERP          | 2019-07-09 04:32:57.062519
 PAXG-0327         | 2020-01-14 15:05:00
 ATOM-0327         | 2019-12-11 21:08:57.746589
 PRIV-0327         | 2020-02-13 11:19:20.039048
 DOGE-20190927     | 2019-10-21 23:09:07.222856
 BTC-0626          | 2019-12-28 09:43:37.324038
 TRYB-0327         | 2019-12-17 12:20:32.753805
 BNB-20190329      | 2019-05-09 19:51:13.836782
 TRX-20190329      | 2019-05-09 19:51:25.81652
 LEO-20190329      | 2019-06-09 07:36:30.14196
 SHIT-20190628     | 2019-07-23 06:54:02.907204
 ALGO-20190329     | 2019-06-23 02:03:53.016805
 BCH-20190329      | 2019-06-20 04:47:31.277927
 LTC-20190628      | 2019-06-30 04:58:32.632296
 DOGE-0327         | 2019-12-17 09:56:50.230905
 MID-0327          | 2019-12-10 01:04:34.968417
 TRYB-PERP         | 2019-12-16 10:43:17.444836
 HT-PERP           | 2019-08-20 09:32:40.138679
 MATIC-PERP        | 2019-10-22 23:11:55.79879
 ETH-0327          | 2019-12-09 19:17:57.079197
 USDT-0327         | 2019-12-10 02:00:59.266908
 ALT-0327          | 2019-12-10 00:54:19.039423
 EXCH-0327         | 2019-12-10 00:34:38.06657
 XAUT-0327         | 2020-03-06 08:35:36.616732
 XAUT-PERP         | 2020-03-06 08:35:36.616732
 BSV-20190628      | 2019-07-05 06:09:20.292074
 ALT-20190628      | 2019-07-09 04:32:57.062519
 TOMO-PERP         | 2019-11-07 09:24:59.130603
